population,frequency,SNR_median,variance,variance_smoothed,slope,intercept,equation
LEI,2656.25,12.502104011414426,93.02979084107068,0.0632557176848898,-0.0010719457923330888,15.349460022299194,y = -0.001072x + 15.349460
LEI,2695.31,12.469289904639652,86.52955162058294,0.05042633361373923,-0.0011316697333147846,15.519490653540323,y = -0.001132x + 15.519491
LEI,2734.38,12.40742757480206,74.3072956467027,0.041384959900281626,-0.0016715662288983495,16.97812483977713,y = -0.001672x + 16.978125
LEI,2773.44,12.342559061358951,74.12663180287724,0.03666613460790967,-0.0019143304885848645,17.65183981161976,y = -0.001914x + 17.651840
LEI,2812.5,12.268093954561529,75.10260355405913,0.04045349794668696,-0.0013726187476785399,16.128584182407423,y = -0.001373x + 16.128584
LEI,2851.56,12.233699064530049,81.70848269904427,0.04713976704183233,-0.000956177380063699,14.96029623442449,y = -0.000956x + 14.960296
LEI,2890.62,12.184937824184857,84.70733538414451,0.05678395227409749,-0.0011894713001674437,15.623247353874874,y = -0.001189x + 15.623247
LEI,2929.69,12.138551722574412,80.87683398972891,0.06518534675892507,-0.0015929140708058726,16.80529614667367,y = -0.001593x + 16.805296
LEI,2968.75,12.045153684113751,84.02808955548763,0.07283743228401902,-0.00317427783777173,21.468791014998573,y = -0.003174x + 21.468791
LEI,3007.81,11.917866089830772,75.71643784647824,0.08283193464751769,-0.0026597159562668895,19.917786340249883,y = -0.002660x + 19.917786
LEI,3046.88,11.835541914877785,69.06395790565588,0.1005559258668787,-0.0022847825796119747,18.79700026104592,y = -0.002285x + 18.797000
LEI,3085.94,11.72925411673967,74.77440085705538,0.11946410565588868,-0.0026860944344871225,20.01838037590086,y = -0.002686x + 20.018380
LEI,3125.0,11.63990124351492,71.88538104615176,0.1356583428549738,-0.0019970049176825815,17.88054161127299,y = -0.001997x + 17.880542
LEI,3164.06,11.560319146525194,73.1203044111145,0.15294448207098138,-0.0023009220095657366,18.84057444011176,y = -0.002301x + 18.840574
LEI,3203.12,11.445543273912007,93.28277185321231,0.17268706586631924,-0.0037269544789941575,23.383425704667772,y = -0.003727x + 23.383426
LEI,3242.19,11.2806222111473,82.117982362344,0.19818708757454476,-0.004269876978546944,25.124374652222414,y = -0.004270x + 25.124375
LEI,3281.25,11.132895422318573,92.58511077441075,0.22390300833400287,-0.0032030858084494147,21.643020731293213,y = -0.003203x + 21.643021
LEI,3320.31,11.00874062832552,76.59181668537227,0.24466358423326748,-0.00379962178625599,23.624662841449144,y = -0.003800x + 23.624663
LEI,3359.38,10.834772475026487,76.14511518212427,0.2667385794784181,-0.004491990632626831,25.925075966460412,y = -0.004492x + 25.925076
LEI,3398.44,10.673600081540808,74.69030771349864,0.2906068390092606,-0.00396929008332071,24.16299427230124,y = -0.003969x + 24.162994
