ind;side;ampl;f_max;sym_max;f_Lw1;sym_Lw1;f_Lw2;sym_Lw2;slope_pre;slope_post;mean_500;mean_1000;mean_1500;mean_2000;mean_2500;mean_3000;mean_3500;mean_4000;mean_4500;mean_5000
ESG030;L;-5.878771186440678;1757.81;0.3563218390804598;1757.81;0.3563218390804598;1796.88;0.37209302325581395;0.01268118590988995;-0.010759601651519965;0.5058333333333334;-3.065;-0.4780769230769232;-1.428846153846154;-5.488846153846154;-7.354230769230768;-4.478333333333334;-10.180384615384614;-8.779615384615385;-16.798000000000002
ESG030;R;-5.811553672316384;703.12;0.03508771929824561;1406.25;0.22916666666666666;1835.94;0.38823529411764707;0.01268118590988995;-0.010759601651519965;-1.5622222222222222;-3.5619444444444444;-0.9628205128205127;-2.5533333333333337;-8.671025641025642;-4.963846153846154;-5.859722222222222;-5.262051282051282;-9.397179487179487;-14.979666666666668
ESG031;L;-6.904661016949152;2226.56;0.5733333333333334;2226.56;0.5733333333333334;2382.81;0.6619718309859155;0.01268118590988995;-0.010759601651519965;-6.804444444444445;-7.785000000000001;-6.948205128205128;-4.647435897435898;2.02948717948718;-0.8094871794871795;-6.149444444444444;-14.673333333333334;-9.343589743589744;-15.960666666666665
ESG032;L;-0.2594915254237287;937.5;0.09259259259259259;898.44;0.08256880733944955;1835.94;0.38823529411764707;0.01268118590988995;-0.010759601651519965;-1.6244444444444444;8.5;5.483333333333333;5.966923076923076;2.41;0.30230769230769233;-1.281944444444444;0.6948717948717948;-10.071538461538463;-16.970666666666666
ESG032;R;2.106723163841808;1171.88;0.1568627450980392;1171.88;0.1568627450980392;1210.94;0.16831683168316833;0.01268118590988995;-0.010759601651519965;-0.7533333333333331;10.326111111111112;10.036666666666665;6.661794871794872;3.9571794871794874;1.4843589743589747;1.676944444444444;-4.802307692307693;-3.149230769230769;-7.537333333333334
ESG038;L;-2.5478389830508474;1250.0;0.18;1210.94;0.16831683168316833;1289.06;0.1919191919191919;0.01268118590988995;-0.010759601651519965;3.2312499999999997;1.8066666666666666;7.206538461538462;0.7732692307692308;2.861153846153847;-3.089423076923077;-4.622708333333334;-9.382115384615386;-8.819423076923076;-15.038999999999998
ESG038;R;0.6178813559322033;820.31;0.06306306306306306;1210.94;0.16831683168316833;1250.0;0.18;0.01268118590988995;-0.010759601651519965;7.824583333333334;11.193541666666668;8.380961538461538;-7.74826923076923;-1.950384615384616;-1.687884615384616;6.710625;1.271153846153846;-5.369615384615385;-9.6535
ESG039;L;-0.4503389830508476;781.25;0.05357142857142857;1484.38;0.2553191489361702;898.44;0.08256880733944955;0.01268118590988995;-0.010759601651519965;0.6222222222222221;6.419722222222222;3.6274358974358973;-3.4769230769230766;5.7812820512820515;-0.7730769230769232;-0.9897222222222221;-0.12923076923076918;-3.9523076923076923;-13.603666666666669
ESG039;R;-0.8578531073446328;1250.0;0.18;1250.0;0.18;1250.0;0.18;0.01268118590988995;-0.010759601651519965;5.933888888888888;6.028333333333333;5.535384615384616;-3.8458974358974367;2.18076923076923;3.572051282051282;-4.222500000000001;-1.0312820512820513;-8.774102564102565;-12.778
ESG041;L;-7.020847457627117;1796.88;0.37209302325581395;1757.81;0.3563218390804598;1679.69;0.3258426966292135;0.01268118590988995;-0.010759601651519965;-8.259583333333333;-4.679166666666667;5.534807692307693;3.4444230769230773;-2.7523076923076926;-7.323076923076924;-12.177500000000002;-13.892884615384615;-16.059615384615384;-17.299
